,nuc,aexp,nd,ns,age,la,ld
1109,,,,,,,
1080,,,,,,,
1212,,,,,,,
1152,,,,,,,
1116,,,,,,,
1173,330.0,51,4,2.0,85.8,57,18
1166,497.333333333333,163,2,2.0,46.6666666666667,163,14
1114,,,,,,,
1113,,,,,,,
1168,,,,,,,
1117,,,,,,,
1172,,,,,,,
1222,,,,,,,
1182,,,,,,,
1145,,,,,,,
1240,,,,,,,
1096,256.4,101,2,2.0,0.0,607,0
1180,,,,,,,
1218,,,,,,,
1227,75.2916666666667,128,2,2.0,140.75,393,374
1104,,,,,,,
1177,,,,,,,
1185,,,,,,,
1089,,,,,,,
1232,273.0,110,3,2.0,16.571428571428598,69,13
1265,377.0,47,3,2.0,332.4,42,3
1196,178.333333333333,1,2,2.0,63.5555555555556,255,4
1164,,,,,,,
1174,,,,,,,
1134,,,,,,,
1068,,,,,,,
1267,144.13333333333298,31,9,2.0,275.0,53,39
1187,,,,,,,
1093,,,,,,,
1066,,,,,,,
1102,185.57142857142892,77,3,2.0,0.0,1376,0
1191,,,,,,,
1125,,,,,,,
1101,272.2,105,4,2.0,214.4,107,178
1067,,,,,,,
1110,356.5,98,3,2.0,70.0,64,7
1236,,,,,,,
1121,287.6,109,3,2.0,34.2,65,47
1163,266.0,45,3,2.0,70.8333333333333,319,16
1094,,,,,,,
1200,,,,,,,
1128,,,,,,,
1186,221.125,95,5,2.0,89.5,178,9
1091,,,,,,,
1248,,,,,,,
1097,353.75,117,3,2.0,32.5,197,0
1197,,,,,,,
1223,,,,,,,
1198,416.0,202,2,2.0,4.25,370,309
1100,356.0,106,4,2.0,38.25,102,7
1157,145.9,70,4,2.0,119.4,269,18
1075,,,,,,,
1139,,,,,,,
1111,90.9375,99,7,2.0,255.5,144,67
1083,,,,,,,
1225,,,,,,,
1071,,,,,,,
1167,,,,,,,
1275,,,,,,,
1062,,,,,,,
1211,416.75,18,3,2.0,197.75,96,7
1176,282.0,13,4,2.0,48.1666666666667,312,64
1155,1.81818181818182,1,2,2.0,0.545454545454545,348,321
1241,601.666666666667,121,2,2.0,43.0,293,16
1183,,,,,,,
1150,161.1,143,6,2.0,288.7,359,9
1158,,,,,,,
1065,,,,,,,
1126,,,,,,,
1064,,,,,,,
1063,,,,,,,
1210,363.6,186,2.0,2,10.2,77,16
1273,6.0,30,5,2.0,222.111111111111,44,27
1266,,,,,,,
1252,,,,,,,
1278,,,,,,,
1281,24.1666666666667,67,6,2.0,181.75,510,87
1268,,,,,,,
1285,,,,,,,
1276,6.28,7,3,2.0,328.48,345,59
1280,,,,,,,
1283,,,,,,,
1271,,,,,,,
1296,,,,,,,
1228,,,,,,,
1287,28.857142857142897,72,4,2.0,43.28571428571429,634,10
1299,5.0,55,1,2.0,6.0,492,92
1304,,,,,,,
1297,,,,,,,
1305,2.0,148,1,2.0,32.0,101,2
1288,,,,,,,
1311,10.6666666666667,155,1,2.0,124.666666666667,78,32
1286,,,,,,,
1056,312.25,112,3.0,2.0,0.75,76,70
1060,423.666666666667,62,3.0,2.0,10.6666666666667,15,1
1302,,,,,,,
1072,408.666666666667,113,3.0,2.0,53.3333333333333,203,83
1307,,,,,,,
1086,424.333333333333,68,2.0,2.0,56.0,5,2
1319,18.0909090909091,1,5,2.0,623.5454545454551,1538,7
1082,425.666666666667,89,2.0,2.0,9.0,131,22
1106,436.333333333333,46,2.0,2.0,3.6666666666666696,31,34
1076,614.5,12,5.0,2.0,64.0,12,7
1105,368.5,114,3.0,2.0,11.25,23,1
1130,457.666666666667,130,3.0,2.0,142.333333333333,74,1
1087,633.0,92,3.0,2.0,57.0,9,5
1081,630.0,24,5.0,2.0,53.5,10,10
1136,,,,,,,
1115,415.0,141,3.0,2.0,46.0,111,53
1074,613.5,3,5.0,2.0,50.5,13,12
1135,,,,,,,
1184,344.4,89,4.0,2.0,8.6,114,8
1160,378.0,33,2.0,2.0,22.75,194,1
1165,490.333333333333,161,3.0,2.0,129.333333333333,59,1
1133,727.5,131,3.0,2.0,7.0,5,2
1137,,,,,,,
1189,791.5,124,5.0,2.0,51.5,7,1
1230,859.0,98,5.0,2.0,51.0,14,4
1118,352.5,103,3.0,2.0,0.0,277,13
1070,203.833333333333,73,2.0,2.0,36.1666666666667,271,90
1209,562.666666666667,67,3.0,2.0,82.6666666666667,74,35
1246,,,,,,,
1206,438.75,9,2.0,2.0,6.5,177,4
1217,572.666666666667,17,5.0,2.0,31.3333333333333,6,3
1201,563.333333333333,79,3.0,2.0,10.0,65,1
1259,618.666666666667,92,3.0,2.0,0.0,65,10
1243,,,,,,,
1057,,,,,,,
1250,,,,,,,
1234,593.666666666667,44,3.0,2.0,124.333333333333,106,1
1262,,,,,,,
1140,495.0,135,2.0,2.0,29.6666666666667,61,7.0
1078,622.0,84,3.0,2.0,115.5,19,7.0
1203,830.0,13,5.0,2.0,18.0,5,7.0
1261,928.0,167,2,2.0,65.0,43,22.0
1129,380.333333333333,177.0,3,2.0,296.0,68,14
1146,,,,,,,
1199,,,,,,,
1291,,,,,,,
1270,,,,,,,
1120,709.5,21,5.0,2.0,1.0,12,7.0
1233,634.666666666667,112,3.0,2.0,20.6666666666667,29,3
1244,486.25,126,2.0,2.0,55.75,213,52.0
1077,,,,,,,
1237,,,,,,,
1277,6.0,4.0,2,2.0,516.0,70,119
1084,,,,,,,
1221,434.0,4.0,2.0,2.0,481.818181818182,85,19
1179,311.0,13.0,3.0,2.0,127.0,6.0,76.0
1282,,,,,,,
