,nuc,aexp,nd,ns,age,la,ld
1071,,,,,,,
1077,,,,,,,
1083,,,,,,,
1084,,,,,,,
1089,,,,,,,
1094,,,,,,,
1101,272.2,105,4,2,214.4,107,178
1109,,,,,,,
1111,90.9375,99,7,2,255.5,144,67
1112,701.5,480,2,2,8.5,6,0
1113,,,,,,,
1117,,,,,,,
1128,,,,,,,
1129,,,,,,,
1134,,,,,,,
1150,,,,,,,
1157,145.9,70,4,2,119.4,269,18
1164,,,,,,,
1166,497.333333333333,163,2,2,46.6666666666667,163,14
1167,,,,,,,
1168,,,,,,,
1173,330.0,51,4,2,85.8,57,18
1174,,,,,,,
1198,,,,,,,
1199,345.4,9,4,2,514.6,349,77
1211,416.75,18,3,2,197.75,96,7
1212,,,,,,,
1222,,,,,,,
1227,75.2916666666667,128,2,2,140.75,393,374
1228,,,,,,,
1237,,,,,,,
1241,601.666666666667,121,2,2,43.0,293,16
1248,,,,,,,
1252,,,,,,,
1265,377.0,47,3,2,332.4,42,3
1266,,,,,,,
1267,144.13333333333298,31,9,2,275.0,53,39
1268,,,,,,,
1271,,,,,,,
1273,6.0,30,5,2,222.111111111111,44,27
1276,6.28,7,3,2,328.48,345,59
1280,,,,,,,
1281,,,,,,,
1282,,,,,,,
1286,,,,,,,
1296,,,,,,,
1304,,,,,,,
1302,,,,,,,
1308,8.5,1,1,2,241.0,14,10
1311,10.6666666666667,155,1,2,124.666666666667,78,32
1319,,,,,,,
1062,,,,,,,
1145,,,,,,,
1172,,,,,,,
1180,,,,,,,
1182,,,,,,,
1283,45.3333333333333,181,1,1,267.0,21,2
1236,,,,,,,
1087,633.0,92,3,2,57.0,9,5
1285,,,,,,,
1133,727.5,131,3,2,7.0,5,2
1104,,,,,,,
1151,713.5,59,3,2,140.5,8,3
1165,490.333333333333,161,3,2,129.333333333333,59,1
1201,563.333333333333,79,3,2,10.0,65,1
1209,562.666666666667,67,3,2,82.6666666666667,74,35
1233,634.666666666667,112,3,2,20.6666666666667,29,3
1218,,,,,,,
1225,,,,,,,
1234,593.666666666667,44,3,2,124.333333333333,106,1
1259,618.666666666667,92,3,2,0.0,65,10
1060,423.666666666667,62,3,2,10.6666666666667,15,1
1200,,,,,,,
1065,260.2,69,4,3,5.6,211,8
1067,407.333333333333,299,2,2,36.0,15,3
1066,,,,,,,
1080,442.333333333333,399,2,2,22.0,64,22
1082,425.666666666667,89,2,2,9.0,131,22
1068,,,,,,,
1086,424.333333333333,68,2,2,56.0,5,2
1075,,,,,,,
1096,256.4,101,2,2,0.0,607,0
1097,353.75,117,3,2,32.5,197,0
1100,356.0,106,4,2,38.25,102,7
1093,,,,,,,
1102,185.57142857142892,77,3,2,0.0,1376,0
1091,,,,,,,
1106,436.333333333333,46,2,2,3.6666666666666696,31,34
1110,356.5,98,3,2,70.0,64,7
1115,415.0,141,3,2,46.0,111,53
1121,287.6,109,3,2,34.2,65,47
1116,,,,,,,
1125,,,,,,,
1155,1.81818181818182,1,2,2,0.545454545454545,348,321
1139,,,,,,,
1163,266.0,45,3,2,70.8333333333333,319,16
1176,282.0,13,4,2,48.1666666666667,312,64
1158,,,,,,,
1152,,,,,,,
1183,,,,,,,
1185,,,,,,,
1196,178.333333333333,1,2,2,63.5555555555556,255,4
1206,438.75,9,2,2,6.5,177,4
1191,,,,,,,
1186,,,,,,,
1232,273.0,110,3,2,16.571428571428598,69,13
1223,,,,,,,
1197,,,,,,,
1262,,,,,,,
1278,15.5,202,1,2,9.5,346,14
1240,,,,,,,
1287,28.857142857142897,72,4,2,43.28571428571429,634,10
1275,,,,,,,
1301,60.8,127,3,2,0.0,81,0
1288,,,,,,,
1305,2.0,148,1,2,32.0,101,2
1299,,,,,,,
1307,29.0,365,1,2,18.6666666666667,20,8
1130,457.666666666667,130,3,2,142.333333333333,74,1
1063,65.75,67,8,2,31.8,1304,1
1056,312.25,112,3,2,0.75,76,70
1126,,,,,,,
1072,408.666666666667,113,3,2,53.3333333333333,203,83
1105,368.5,114,3,2,11.25,23,1
1118,352.5,103,3,2,0.0,277,13
1160,378.0,33,2,2,22.75,194,1
1250,,,,,,,
1074,613.5,3,5.0,2,50.5,13,12
1076,614.5,12,5.0,2,64.0,12,7
1064,,,,,,,
1136,,,,,,,
1291,,,,,,,
1081,630.0,24,5.0,2,53.5,10,10
1178,765.0,27,5.0,2,8.0,4,1
1246,,,,,,,
1189,791.5,124,5.0,2,51.5,7,1
1230,859.0,98,5.0,2,51.0,14,4
1261,928.0,167,2,2,65.0,43,22.0
1070,203.833333333333,73,2,2,36.1666666666667,271,90
1135,,,,,,,
1184,344.4,89,4,2,8.6,114,8
1078,622.0,84,3,2,115.5,19,7.0
1244,486.25,126,2,2,55.75,213,52.0
1137,,,,,,,
1217,,,,,,,
1277,6.0,4,2,2,516.0,70,119
1255,,,,,,,
1254,907.0,27,5.0,2,102.0,12,7.0
1221,434.0,4,2,2,481.818181818182,85,19
1179,311.0,12.0,3,2,127.0,6,76.0
1057,,,,,,,
1203,830.0,13,5.0,2,18.0,5,22.0
1120,709.5,21,5.0,2,1.0,12,22.0
1146,,,,,,,
1114,,,,,,,
