,nuc,aexp,ns,age,asexp,la,target
0,1.17,33.0,1.0,3.96,11.0,652.0,False
1,3.42,43.0,2.0,25.17,0.04,643.0,False
2,5.0,319.0,1.0,74.67,13.0,40.0,False
3,20.0,58.0,1.0,7.0,24.0,5.0,False
4,10.23,60.0,2.0,23.77,0.81,187.0,False
5,13.0,323.0,1.0,1.0,15.0,6.0,False
6,19.0,337.0,1.0,0.0,21.0,6.0,False
7,35.88,65.0,2.0,46.24,1.0,490.0,False
8,10.73,7.0,3.0,80.04,0.28,287.0,False
9,11.0,0.0,1.0,18.0,0.0,3.0,False
10,13.33,18.0,2.0,44.22,1.0,332.0,False
11,13.33,3.0,2.0,33.43,0.75,1512.0,False
12,20.0,15.0,1.0,4.0,6.0,2.0,False
13,29.88,10.0,3.0,127.59,0.5,945.0,False
14,32.0,2.0,1.0,6.0,0.0,2.0,False
15,22.97,2.0,2.0,37.85,0.75,457.0,False
16,49.0,4.0,1.0,2.0,2.0,5.0,False
17,2.67,38.0,1.0,1.33,9.0,253.0,False
18,1.22,1.0,1.0,6.91,0.0,172.0,False
19,2.33,9.0,1.0,8.33,3.0,36.0,False
20,42.0,5.0,1.0,16.0,3.0,6.0,False
21,5.4,26.0,2.0,3.4,0.93,73.0,False
22,2.38,11.0,4.0,17.0,0.0,57.0,False
23,19.23,10.0,2.0,23.23,1.19,477.0,False
24,1.44,38.0,1.0,3.44,14.0,114.0,False
25,12.53,38.0,2.0,20.94,1.16,270.0,False
26,0.0,62.0,1.0,0.0,2.0,19.0,False
27,9.82,65.0,5.0,3.36,0.2,428.0,False
28,1.0,15.0,1.0,1.0,5.0,1.0,False
29,1.0,16.0,1.0,0.0,0.0,1.0,False
30,10.0,21.0,1.0,0.0,15.0,9.0,False
31,4.25,22.0,1.0,15.0,16.0,67.0,False
32,30.33,0.0,2.0,7.67,0.0,6.0,False
33,5.0,61.0,3.0,84.71,0.26,64.0,False
34,30.0,59.0,1.0,3.0,40.0,5.0,False
35,0.0,0.0,1.0,0.0,0.0,3.0,True
36,3.0,24.0,1.0,33.0,8.0,0.0,False
37,9.0,44.0,1.0,9.0,38.0,3.0,False
38,2.0,45.0,1.0,0.0,39.0,42.0,False
39,22.0,51.0,1.0,0.0,45.0,1.0,False
40,3.6,0.0,1.0,13.2,0.0,29.0,False
41,24.0,55.0,1.0,1.0,49.0,23.0,False
42,13.64,60.0,4.0,3.55,0.0,1343.0,False
43,2.0,61.0,1.0,8.0,55.0,242.0,False
44,5.6,119.0,1.0,22.4,21.0,54.0,False
45,5.5,72.0,1.0,3.5,10.0,13.0,False
46,7.0,73.0,1.0,0.0,11.0,8.0,False
47,24.67,94.0,2.0,3.0,0.63,46.0,False
48,63.0,78.0,2.0,5.67,1.16,16.0,False
49,18.78,108.0,2.0,21.0,0.63,38.0,False
50,26.0,81.0,2.0,1.0,0.93,8.0,False
51,30.17,111.0,2.0,73.79,0.63,86.0,False
52,16.17,92.0,1.0,37.5,55.0,125.0,False
53,3.42,137.0,1.0,16.17,39.0,302.0,False
54,8.5,3.0,1.0,9.5,2.0,3.0,False
55,57.0,0.0,1.0,5.0,0.0,1.0,False
56,25.0,13.0,3.0,0.17,0.01,656.0,False
57,5.63,4.0,1.0,33.21,3.0,383.0,False
58,17.67,76.0,1.0,44.67,20.0,10.0,False
59,7.4,99.0,1.0,7.2,15.0,498.0,False
60,3.75,23.0,1.0,0.0,13.0,14.0,False
61,2.0,20.0,1.0,5.0,11.0,1.0,False
62,19.0,5.0,1.0,6.0,3.0,1.0,False
63,4.25,32.0,1.0,7.5,17.0,248.0,False
64,23.0,1.0,1.0,30.0,0.0,3.0,False
65,4.36,158.0,1.0,33.55,55.0,95.0,False
66,2.0,14.0,1.0,5.0,13.0,14.0,False
67,73.0,156.0,2.0,60.5,0.63,14.0,False
68,0.0,1.0,1.0,0.0,1.0,6.0,True
69,32.64,114.0,1.0,24.55,65.0,354.0,False
70,28.75,46.0,1.0,21.75,23.0,133.0,False
71,37.0,162.0,1.0,121.0,56.0,1.0,False
72,31.43,119.0,1.0,73.29,68.0,395.0,False
73,12.0,31.0,1.0,5.0,28.0,4.0,False
74,2.0,33.0,1.0,8.0,30.0,6.0,False
75,7.33,37.0,1.0,16.67,34.0,5.0,False
76,6.0,34.0,1.0,92.0,22.0,3.0,False
77,9.95,20.0,1.0,96.1,17.0,214.0,False
78,17.0,37.0,1.0,39.7,24.0,277.0,False
79,6.0,27.0,1.0,0.5,23.0,156.0,False
80,39.0,7.0,1.0,47.0,0.0,1.0,False
81,8.5,31.0,2.0,18.5,0.5,164.0,False
82,42.43,2.0,2.0,40.86,0.25,106.0,False
83,44.0,3.0,2.0,10.33,0.0,33.0,False
84,11.42,33.0,3.0,66.38,0.17,617.0,False
85,51.14,0.0,2.0,18.29,0.0,109.0,False
86,8.53,3.0,5.0,240.94,0.25,27.0,False
87,14.89,152.0,2.0,5.33,1.16,131.0,False
88,3.67,65.0,2.0,131.13,1.0,551.0,False
89,20.0,66.0,1.0,50.0,31.0,3.0,False
90,8.0,12.0,2.0,16.0,0.81,35.0,False
91,4.67,42.0,1.0,29.08,38.0,46.0,False
92,43.0,68.0,1.0,5.0,65.0,2.0,False
93,1.5,69.0,1.0,0.0,66.0,6.0,False
94,11.9,179.0,1.0,28.5,75.0,87.0,False
95,30.88,194.0,2.0,84.88,0.63,217.0,False
96,22.0,197.0,4.0,54.12,0.14,852.0,False
97,2.0,77.0,1.0,20.0,74.0,30.0,False
98,8.0,56.0,2.0,13.5,0.03,351.0,False
99,4.0,169.0,1.0,24.0,92.0,13.0,False
100,28.5,48.0,1.0,17.0,14.0,3.0,False
101,2.5,92.0,1.0,0.0,86.0,55.0,False
102,35.33,3.0,4.0,14.67,0.0,224.0,False
103,41.0,65.0,1.0,5.0,43.0,4.0,False
104,12.4,190.0,1.0,16.0,82.0,16.0,False
105,21.0,66.0,1.0,0.0,58.0,27.0,False
106,42.05,37.0,4.0,13.83,0.26,1732.0,False
107,36.5,4.0,1.0,1.0,2.0,9.0,False
108,19.64,70.0,2.0,26.18,0.03,354.0,False
109,38.0,10.0,1.0,1.0,2.0,10.0,False
110,8.5,216.0,2.0,0.0,0.63,6.0,False
111,37.21,32.0,2.0,17.95,0.96,278.0,False
112,8.25,7.0,2.0,125.5,0.77,119.0,False
113,11.0,371.0,1.0,2.0,0.0,4.0,False
114,14.0,0.0,1.0,55.0,0.0,110.0,False
115,13.89,192.0,1.0,26.78,84.0,84.0,False
116,16.5,86.0,1.0,39.5,7.0,592.0,False
117,25.0,0.0,1.0,11.5,0.0,72.0,False
118,36.23,189.0,2.0,5.38,1.16,315.0,False
119,91.0,195.0,1.0,3.0,50.0,1.0,False
120,1.6,38.0,1.0,10.8,15.0,16.0,False
121,2.75,56.0,1.0,52.75,18.0,307.0,False
122,51.25,118.0,2.0,1.12,0.13,246.0,False
123,31.09,203.0,3.0,11.14,0.54,490.0,False
124,10.0,0.0,1.0,35.0,0.0,9.0,False
125,9.0,97.0,1.0,7.0,81.0,8.0,False
126,25.57,99.0,3.0,3.86,0.17,813.0,False
127,21.95,270.0,3.0,9.82,0.26,251.0,False
128,1.0,10.0,1.0,14.0,10.0,16.0,False
129,34.91,210.0,1.0,34.91,90.0,94.0,False
130,16.42,5.0,2.0,54.27,0.97,612.0,False
131,48.0,2.0,1.0,1.0,1.0,28.0,False
132,13.8,89.0,1.0,46.47,60.0,403.0,False
133,23.16,3.0,3.0,55.58,0.15,1446.0,False
134,28.0,25.0,1.0,10.0,24.0,52.0,False
135,67.0,114.0,2.0,13.0,1.0,181.0,False
136,2.0,55.0,1.0,117.0,28.0,28.0,False
137,27.68,296.0,4.0,85.18,0.4,505.0,False
138,36.25,1.0,1.0,7.25,1.0,410.0,False
139,69.0,2.0,1.0,0.0,2.0,13.0,False
140,21.5,30.0,1.0,3.0,27.0,45.0,False
141,14.88,252.0,3.0,64.63,0.54,1398.0,False
142,37.4,305.0,2.0,47.8,0.63,17.0,False
143,40.11,128.0,3.0,37.37,0.5,251.0,False
144,63.0,5.0,1.0,0.0,3.0,1.0,False
145,38.84,17.0,3.0,42.47,0.61,235.0,False
146,6.33,18.0,1.0,88.0,11.0,126.0,False
147,9.43,35.0,2.0,130.43,1.0,24.0,False
148,42.41,319.0,3.0,35.65,0.26,78.0,False
149,7.5,137.0,1.0,16.0,112.0,77.0,False
150,32.05,0.0,7.0,116.68,0.0,55.0,False
151,16.0,245.0,1.0,59.0,112.0,0.0,False
152,63.0,160.0,2.0,5.5,1.0,4.0,False
153,7.0,6.0,1.0,63.0,2.0,39.0,False
154,0.0,0.0,1.0,0.0,0.0,3.0,True
155,46.5,1.0,1.0,26.5,1.0,59.0,False
156,69.0,265.0,1.0,0.0,128.0,23.0,False
157,26.07,3.0,5.0,64.0,0.25,798.0,False
158,13.6,1.0,2.0,153.7,0.0,18.0,False
159,7.67,46.0,2.0,50.0,1.0,143.0,False
160,15.29,0.0,2.0,12.57,0.0,35.0,False
161,2.0,0.0,1.0,32.0,0.0,52.0,False
162,6.88,159.0,1.0,38.25,75.0,177.0,False
163,16.14,48.0,1.0,65.71,44.0,128.0,False
164,23.38,282.0,3.0,115.75,0.5,142.0,False
165,15.0,171.0,2.0,23.0,1.0,13.0,False
166,56.0,14.0,2.0,147.2,0.97,103.0,False
167,55.67,284.0,1.0,25.33,142.0,25.0,False
168,35.33,1.0,1.0,33.0,0.0,18.0,False
169,13.98,173.0,2.0,66.39,1.0,1323.0,False
170,36.4,182.0,2.0,37.6,1.0,194.0,False
171,19.25,21.0,2.0,77.88,0.88,626.0,False
172,20.0,2.0,1.0,20.0,0.0,4.0,False
173,9.0,197.0,2.0,32.82,1.0,139.0,False
174,36.0,2.0,1.0,3.0,0.0,12.0,False
175,7.0,2.0,1.0,72.0,0.0,76.0,False
176,8.5,30.0,1.0,0.0,20.0,20.0,False
177,1.27,32.0,1.0,0.27,21.0,33.0,False
178,42.93,308.0,2.0,63.73,1.16,448.0,False
179,20.68,17.0,1.0,39.95,12.0,305.0,False
180,59.82,0.0,1.0,91.45,0.0,182.0,False
181,19.0,205.0,1.0,1.0,93.0,2.0,False
182,0.0,24.0,1.0,0.0,17.0,81.0,False
183,1.22,5.0,1.0,28.67,3.0,435.0,False
184,70.0,7.0,1.0,19.0,6.0,3.0,False
185,17.0,12.0,2.0,61.17,0.92,154.0,False
186,38.15,12.0,2.0,85.2,1.7,603.0,False
187,26.4,56.0,4.0,100.93,0.32,110.0,False
188,47.6,74.0,7.0,69.0,0.17,160.0,False
189,75.0,56.0,1.0,8.0,16.0,1.0,False
190,52.6,50.0,3.0,25.7,0.42,248.0,False
191,31.75,52.0,2.0,15.0,0.77,128.0,False
192,29.22,0.0,5.0,70.56,0.0,25.0,False
193,39.38,4.0,6.0,49.06,0.28,1937.0,False
194,45.61,333.0,4.0,57.58,0.35,726.0,False
195,35.0,2.0,1.0,80.0,2.0,8.0,False
196,30.08,20.0,3.0,212.08,0.5,69.0,False
197,31.18,22.0,4.0,73.55,0.0,318.0,False
198,10.33,58.0,1.0,1.33,49.0,98.0,False
199,24.5,0.0,1.0,29.0,0.0,22.0,False
200,111.75,346.0,2.0,49.5,1.16,73.0,False
201,4.33,66.0,1.0,54.33,52.0,53.0,False
202,18.0,3.0,1.0,56.0,0.0,1.0,False
203,4.8,60.39,1.0,4.06,8.36,39.0,False
204,4.79,60.26,1.0,4.06,8.35,39.29,False
205,4.23,50.92,1.0,4.51,7.03,60.21,False
206,4.58,56.82,1.0,4.23,7.86,46.99,False
207,4.46,54.74,1.0,4.33,7.57,51.64,False
208,2.85,28.02,1.0,5.61,3.8,111.5,False
209,1.94,12.94,1.0,6.33,1.68,145.25,False
210,5.36,69.71,1.0,3.61,9.68,18.12,False
211,1.99,13.85,1.0,6.29,1.81,143.23,False
212,2.97,29.97,1.0,5.52,4.08,107.13,False
213,1.4,3.93,1.0,6.77,0.41,165.45,False
214,1.66,8.29,1.0,6.56,1.03,155.67,False
