,nuc,aexp,ns,age,asexp,la
2005,,,,,,
1942,,,,,,
1993,107.666666666667,40,2,31.4444444444444,75.5,110
1973,,,,,,
1988,,,,,,
1980,,,,,,
1912,19.2142857142857,68,1,74.46428571428571,54.0,4.0
2023,,,,,,
1956,,,,,,
2022,,,,,,
2048,,,,,,
2045,,,,,,
2003,,,,,,
2037,,,,,,
2057,,,,,,
2070,,,,,,
2087,,,,,,
2060,,,,,,
2096,,,,,,
2041,,,,,,
2071,,,,,,
2108,,,,,,
2145,,,,,,
2138,,,,,,
2171,,,,,,
2199,,,,,,
2077,,,,,,
2101,,,,,,
2198,,,,,,
2217,,,,,,
2063,,,,,,
2203,,,,,,
2220,,,,,,
2200,,,,,,
2259,,,,,,
2250,,,,,,
2222,,,,,,
2242,,,,,,
2271,,,,,,
2228,,,,,,
2291,,,,,,
2272,,,,,,
2263,,,,,,
2341,,,,,,
2274,,,,,,
1962,,,,,,
2281,,,,,,
