,nuc,aexp,ns,age,asexp,la
2189,,,,,,
1980,,,,,,
2063,,,,,,
2242,,,,,,
2138,,,,,,
2222,,,,,,
1918,,,,,,
1921,,,,,,
1920,,,,,,
1912,,,,,,
1942,,,,,,
1935,6.33333333333333,23.5,1,46.9027777777778,0.26073009710910344,60.5
1923,,,,,,
1933,,,,,,
1937,,,,,,
1951,,,,,,
1973,,,,,,
1958,,,,,,
1956,,,,,,
1997,,,,,,
2003,,,,,,
1993,,,,,,
1988,,,,,,
2002,,,,,,
1962,,,,,,
2005,,,,,,
2023,,,,,,
2022,,,,,,
2015,,,,,,
2024,,,,,,
2031,,,,,,
2041,6.33333333333333,23.5,2,46.9027777777778,0.26073009710910344,60.5
2037,,,,,,
2040,,,,,,
2042,,,,,,
2033,,,,,,
2049,,,,,,
2067,,,,,,
2060,,,,,,
2066,14.9,6,2,46.9027777777778,21.0,60.5
2048,,,,,,
2057,,,,,,
2046,29.395238095238096,6,2,46.9027777777778,1.013671875,60.5
2071,,,,,,
2070,,,,,,
2045,,,,,,
2089,,,,,,
2069,,,,,,
2076,,,,,,
2087,,,,,,
2077,,,,,,
2097,,,,,,
2108,,,,,,
2096,,,,,,
2106,,,,,,
2145,,,,,,
2153,,,,,,
2101,,,,,,
2198,,,,,,
2200,,,,,,
2217,6.33333333333333,23.5,2,46.9027777777778,0.4243255601280289,60.5
2203,,,,,,
2199,,,,,,
2228,,,,,,
2241,,,,,,
2247,,,,,,
2171,,,,,,
2259,,,,,,
2220,,,,,,
2272,,,,,,
2263,,,,,,
2281,,,,,,
2250,,,,,,
2234,,,,,,
2296,,,,,,
2271,,,,,,
2266,,,,,,
2274,,,,,,
2291,,,,,,
2341,,,,,,
2293,,,,,,
2363,,,,,,
2301,29.395238095238096,6,2,5.9,34.0,60.5
