,nuc,aexp,ns,age,asexp,la
2002,,,,,,
1923,,,,,,
2247,,,,,,
2031,,,,,,
2171,,,,,,
1942,,,,,,
2057,,,,,,
2089,,,,,,
2228,,,,,,
2291,,,,,,
2242,,,,,,
2063,,,,,,
2281,,,,,,
2341,,,,,,
1920,,,,,,
1933,,,,,,
1912,,,,,,
1951,,,,,,
1935,6.33333333333333,23.5,1,46.9027777777778,0.26073009710910344,60.5
1958,,,,,,
1956,,,,,,
1962,,,,,,
1918,,,,,,
1937,,,,,,
1988,,,,,,
1973,,,,,,
2003,,,,,,
2005,,,,,,
1993,,,,,,
1980,,,,,,
1997,6.33333333333333,23.5,1,46.9027777777778,1.013671875,60.5
2024,,,,,,
2022,,,,,,
1921,,,,,,
2037,,,,,,
2015,,,,,,
2033,14.9,422,1,46.9027777777778,0.4243255601280289,60.5
2041,6.33333333333333,23.5,2,46.9027777777778,0.26073009710910344,60.5
2048,,,,,,
2046,29.395238095238096,6,2,46.9027777777778,1.013671875,60.5
2042,46.2903225806452,6,1,46.9027777777778,0.4243255601280289,60.5
2060,,,,,,
2040,,,,,,
2023,,,,,,
2049,,,,,,
2066,14.9,6,1,46.9027777777778,1.013671875,60.5
2070,,,,,,
2076,,,,,,
2067,,,,,,
2087,,,,,,
2097,,,,,,
2077,,,,,,
2045,,,,,,
2096,,,,,,
2101,,,,,,
2069,14.9,6,1,46.9027777777778,1.013671875,60.5
2153,,,,,,
2106,,,,,,
2071,,,,,,
2108,,,,,,
2138,29.395238095238096,6,2,46.9027777777778,0.4243255601280289,60.5
2145,,,,,,
2189,,,,,,
2203,,,,,,
2217,6.33333333333333,23.5,2,46.9027777777778,0.4243255601280289,60.5
2198,,,,,,
2220,,,,,,
2234,,,,,,
2241,,,,,,
2199,,,,,,
2200,,,,,,
2263,,,,,,
2271,,,,,,
2250,,,,,,
2272,,,,,,
2266,,,,,,
2259,,,,,,
2222,,,,,,
2296,,,,,,
2274,,,,,,
2293,101.5,23.5,2,5.9,0.4243255601280289,60.5
2363,,,,,,
2301,29.395238095238096,6,2,5.9,1.013671875,60.5
